Date,Open,Close,High,Low,Volume
2020-09-29 13:22:00,1.17053,1.17035,1.17055,1.17033,82
2020-09-29 13:23:00,1.17035,1.1704,1.17043,1.17033,71
2020-09-29 13:24:00,1.1704,1.17055,1.1706,1.17039,158
2020-09-29 13:25:00,1.17055,1.1706,1.17068,1.17049,82
2020-09-29 13:26:00,1.1706,1.17069,1.17076,1.1706,64
2020-09-29 13:27:00,1.17068,1.17043,1.17068,1.17042,122
2020-09-29 13:28:00,1.17044,1.17069,1.1707,1.17041,133
2020-09-29 13:29:00,1.17069,1.17068,1.17073,1.17059,100
2020-09-29 13:30:00,1.17069,1.17065,1.17073,1.17061,55
2020-09-29 13:31:00,1.17066,1.17097,1.17098,1.17055,250
2020-09-29 13:32:00,1.17097,1.1715,1.17176,1.17097,404
2020-09-29 13:33:00,1.17151,1.17169,1.17175,1.17131,296
2020-09-29 13:34:00,1.17167,1.17168,1.17186,1.17162,230
2020-09-29 13:35:00,1.17168,1.17136,1.17168,1.17125,273
2020-09-29 13:36:00,1.17137,1.17154,1.17163,1.17129,259
2020-09-29 13:37:00,1.17154,1.17157,1.17176,1.17152,239
2020-09-29 13:38:00,1.17155,1.17189,1.1719,1.17152,236
2020-09-29 13:39:00,1.17189,1.17175,1.17193,1.17173,199
2020-09-29 13:40:00,1.17174,1.17174,1.17185,1.17169,113
2020-09-29 13:41:00,1.17175,1.17261,1.17261,1.17169,279
2020-09-29 13:42:00,1.1726,1.17225,1.1726,1.17217,249
2020-09-29 13:43:00,1.17225,1.17219,1.17252,1.17219,179
2020-09-29 13:44:00,1.17219,1.17213,1.17222,1.17197,324
2020-09-29 13:45:00,1.17213,1.17218,1.17226,1.17203,224
2020-09-29 13:46:00,1.17218,1.17233,1.17247,1.17218,167
2020-09-29 13:47:00,1.17233,1.17253,1.17277,1.17232,287
2020-09-29 13:48:00,1.17253,1.17239,1.17255,1.17231,168
2020-09-29 13:49:00,1.17239,1.17237,1.17239,1.17225,195
2020-09-29 13:50:00,1.17238,1.17239,1.17243,1.17226,210
2020-09-29 13:51:00,1.17239,1.17235,1.17251,1.17235,169
2020-09-29 13:52:00,1.17236,1.17239,1.17247,1.17221,215
2020-09-29 13:53:00,1.17239,1.17249,1.17255,1.17239,120
2020-09-29 13:54:00,1.17249,1.17253,1.1727,1.17245,171
2020-09-29 13:55:00,1.17253,1.17251,1.17253,1.17241,158
2020-09-29 13:56:00,1.17251,1.17243,1.17252,1.17225,205
2020-09-29 13:57:00,1.17243,1.17224,1.17245,1.17221,166
2020-09-29 13:58:00,1.17224,1.17239,1.1724,1.17223,86
2020-09-29 13:59:00,1.17239,1.17229,1.17241,1.17227,124
2020-09-29 14:00:00,1.1723,1.17245,1.17264,1.17227,213
2020-09-29 14:01:00,1.17244,1.17264,1.17267,1.17221,396
2020-09-29 14:02:00,1.17264,1.17309,1.17309,1.17261,274
2020-09-29 14:03:00,1.1731,1.17309,1.17345,1.17299,298
2020-09-29 14:04:00,1.17308,1.17309,1.17313,1.17295,270
2020-09-29 14:05:00,1.17308,1.17336,1.17346,1.17307,242
2020-09-29 14:06:00,1.17336,1.17327,1.17345,1.17321,233
2020-09-29 14:07:00,1.17328,1.1733,1.17336,1.17315,217
2020-09-29 14:08:00,1.17331,1.17301,1.17331,1.17293,204
2020-09-29 14:09:00,1.17301,1.17289,1.17309,1.17287,212
2020-09-29 14:10:00,1.17289,1.17292,1.17299,1.17277,226
2020-09-29 14:11:00,1.17292,1.17299,1.17311,1.17291,151
2020-09-29 14:12:00,1.17299,1.17301,1.17318,1.17297,163
2020-09-29 14:13:00,1.17301,1.17297,1.17308,1.17294,181
2020-09-29 14:14:00,1.17297,1.17285,1.17303,1.17281,191
2020-09-29 14:15:00,1.17287,1.17273,1.17293,1.17263,325
2020-09-29 14:16:00,1.17273,1.17268,1.17275,1.17265,154
2020-09-29 14:17:00,1.17268,1.17283,1.17287,1.17266,203
2020-09-29 14:18:00,1.17283,1.17296,1.17308,1.17263,265
2020-09-29 14:19:00,1.17295,1.1728,1.17297,1.17277,192
2020-09-29 14:20:00,1.1728,1.17298,1.17298,1.17277,204
2020-09-29 14:21:00,1.17299,1.17293,1.17309,1.17287,274
2020-09-29 14:22:00,1.17291,1.17327,1.17327,1.17291,227
2020-09-29 14:23:00,1.17327,1.17367,1.17376,1.1732,270
2020-09-29 14:24:00,1.17367,1.17369,1.17391,1.17359,365
2020-09-29 14:25:00,1.17368,1.17367,1.17377,1.17359,235
2020-09-29 14:26:00,1.17367,1.17389,1.17405,1.17363,275
2020-09-29 14:27:00,1.17389,1.17425,1.17441,1.17376,467
2020-09-29 14:28:00,1.17425,1.17411,1.17439,1.17359,599
2020-09-29 14:29:00,1.17411,1.17406,1.17428,1.17401,323
2020-09-29 14:30:00,1.17406,1.17383,1.17415,1.17375,166
2020-09-29 14:31:00,1.17383,1.1737,1.17399,1.17353,303
2020-09-29 14:32:00,1.1737,1.17369,1.17398,1.17365,239
2020-09-29 14:33:00,1.17369,1.17377,1.17388,1.17369,155
2020-09-29 14:34:00,1.17377,1.17339,1.17377,1.17335,489
2020-09-29 14:35:00,1.17339,1.17345,1.17355,1.17333,205
2020-09-29 14:36:00,1.17345,1.17341,1.17363,1.17331,306
2020-09-29 14:37:00,1.17341,1.17317,1.17341,1.17315,253
2020-09-29 14:38:00,1.17317,1.17289,1.17322,1.17281,298
2020-09-29 14:39:00,1.17289,1.17299,1.17309,1.17289,352
2020-09-29 14:40:00,1.17298,1.17294,1.17305,1.17285,258
2020-09-29 14:41:00,1.17295,1.17287,1.17302,1.17283,203
2020-09-29 14:42:00,1.17287,1.17315,1.17315,1.17283,196
2020-09-29 14:43:00,1.17315,1.17289,1.17316,1.17289,229
2020-09-29 14:44:00,1.17289,1.17303,1.17304,1.17285,206
2020-09-29 14:45:00,1.17303,1.17315,1.17318,1.17297,112
2020-09-29 14:46:00,1.17315,1.17283,1.1732,1.17281,249
2020-09-29 14:47:00,1.17283,1.17293,1.17299,1.17279,207
2020-09-29 14:48:00,1.17293,1.17301,1.17305,1.17287,204
2020-09-29 14:49:00,1.17301,1.17297,1.17303,1.17277,142
2020-09-29 14:50:00,1.17296,1.17309,1.17321,1.17289,175
2020-09-29 14:51:00,1.17309,1.17313,1.17327,1.17309,170
2020-09-29 14:52:00,1.17313,1.17327,1.17327,1.1729,248
2020-09-29 14:53:00,1.17327,1.17323,1.1733,1.17311,199
2020-09-29 14:54:00,1.17323,1.17338,1.17339,1.17321,243
2020-09-29 14:55:00,1.17339,1.17339,1.17347,1.17325,238
2020-09-29 14:56:00,1.17339,1.17342,1.17353,1.17339,224
2020-09-29 14:57:00,1.17342,1.17333,1.17343,1.17329,161
2020-09-29 14:58:00,1.17333,1.17305,1.17345,1.17302,275
2020-09-29 14:59:00,1.17305,1.17302,1.17317,1.173,346
2020-09-29 15:00:00,1.17301,1.1731,1.17326,1.173,300
2020-09-29 15:01:00,1.1731,1.17286,1.17331,1.17274,358
2020-09-29 15:02:00,1.17286,1.17278,1.17293,1.17276,263
2020-09-29 15:03:00,1.17278,1.17296,1.17313,1.17278,333
2020-09-29 15:04:00,1.17297,1.17299,1.17308,1.17282,262
2020-09-29 15:05:00,1.17298,1.17297,1.17308,1.17297,128
2020-09-29 15:06:00,1.17298,1.17337,1.17339,1.17297,108
2020-09-29 15:07:00,1.17335,1.17369,1.17369,1.17333,144
2020-09-29 15:08:00,1.17369,1.17407,1.17415,1.17361,271
