Date,Date,Open,Close,High,Low,Volume
2020-09-30 03:12:36,2020-09-30 03:12:36,1.17323,1.17323,1.17323,1.17323,2
2020-09-30 03:12:37,2020-09-30 03:12:37,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:12:38,2020-09-30 03:12:38,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:12:39,2020-09-30 03:12:39,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:12:40,2020-09-30 03:12:40,1.17323,1.17326,1.17327,1.17323,8
2020-09-30 03:12:41,2020-09-30 03:12:41,1.17325,1.17323,1.17325,1.17323,5
2020-09-30 03:12:42,2020-09-30 03:12:42,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:12:43,2020-09-30 03:12:43,1.17324,1.17325,1.17325,1.17324,4
2020-09-30 03:12:44,2020-09-30 03:12:44,1.17325,1.17325,1.17325,1.17325,1
2020-09-30 03:12:45,2020-09-30 03:12:45,1.17325,1.17327,1.17327,1.17325,2
2020-09-30 03:12:46,2020-09-30 03:12:46,1.17327,1.17328,1.17328,1.17327,5
2020-09-30 03:12:47,2020-09-30 03:12:47,1.17328,1.17328,1.17328,1.17328,0
2020-09-30 03:12:48,2020-09-30 03:12:48,1.17328,1.17328,1.17328,1.17328,1
2020-09-30 03:12:49,2020-09-30 03:12:49,1.17329,1.17329,1.17329,1.17329,1
2020-09-30 03:12:50,2020-09-30 03:12:50,1.17329,1.17329,1.17331,1.17329,6
2020-09-30 03:12:51,2020-09-30 03:12:51,1.17327,1.17327,1.17327,1.17327,3
2020-09-30 03:12:52,2020-09-30 03:12:52,1.17327,1.17327,1.17327,1.17327,3
2020-09-30 03:12:53,2020-09-30 03:12:53,1.17327,1.17327,1.17327,1.17327,0
2020-09-30 03:12:54,2020-09-30 03:12:54,1.17327,1.17327,1.17327,1.17327,2
2020-09-30 03:12:55,2020-09-30 03:12:55,1.17327,1.17325,1.17327,1.17325,3
2020-09-30 03:12:56,2020-09-30 03:12:56,1.17325,1.17325,1.17325,1.17325,0
2020-09-30 03:12:57,2020-09-30 03:12:57,1.17325,1.17328,1.17328,1.17325,6
2020-09-30 03:12:58,2020-09-30 03:12:58,1.17328,1.17328,1.17328,1.17328,0
2020-09-30 03:12:59,2020-09-30 03:12:59,1.17328,1.17328,1.17328,1.17328,1
2020-09-30 03:13:00,2020-09-30 03:13:00,1.17328,1.17328,1.17328,1.17328,0
2020-09-30 03:13:01,2020-09-30 03:13:01,1.17328,1.17328,1.17328,1.17328,0
2020-09-30 03:13:02,2020-09-30 03:13:02,1.17327,1.17319,1.17327,1.17319,15
2020-09-30 03:13:03,2020-09-30 03:13:03,1.17319,1.17319,1.17319,1.17319,0
2020-09-30 03:13:04,2020-09-30 03:13:04,1.17318,1.17317,1.17318,1.17317,5
2020-09-30 03:13:05,2020-09-30 03:13:05,1.17316,1.17315,1.17316,1.17315,2
2020-09-30 03:13:06,2020-09-30 03:13:06,1.17315,1.17315,1.17315,1.17315,0
2020-09-30 03:13:07,2020-09-30 03:13:07,1.17315,1.17315,1.17315,1.17315,0
2020-09-30 03:13:08,2020-09-30 03:13:08,1.17315,1.17315,1.17315,1.17315,0
2020-09-30 03:13:09,2020-09-30 03:13:09,1.17314,1.17314,1.17314,1.17314,1
2020-09-30 03:13:10,2020-09-30 03:13:10,1.17314,1.17314,1.17314,1.17314,0
2020-09-30 03:13:11,2020-09-30 03:13:11,1.17314,1.17314,1.17314,1.17314,0
2020-09-30 03:13:12,2020-09-30 03:13:12,1.17313,1.17313,1.17313,1.17313,2
2020-09-30 03:13:13,2020-09-30 03:13:13,1.17313,1.17313,1.17313,1.17313,0
2020-09-30 03:13:14,2020-09-30 03:13:14,1.17313,1.17313,1.17313,1.17313,0
2020-09-30 03:13:15,2020-09-30 03:13:15,1.17313,1.17313,1.17313,1.17313,0
2020-09-30 03:13:16,2020-09-30 03:13:16,1.17313,1.17316,1.17316,1.17313,4
2020-09-30 03:13:17,2020-09-30 03:13:17,1.17317,1.17317,1.17317,1.17317,2
2020-09-30 03:13:18,2020-09-30 03:13:18,1.17317,1.17317,1.17317,1.17317,2
2020-09-30 03:13:19,2020-09-30 03:13:19,1.17317,1.17317,1.17317,1.17317,3
2020-09-30 03:13:20,2020-09-30 03:13:20,1.17317,1.17317,1.17317,1.17317,1
2020-09-30 03:13:21,2020-09-30 03:13:21,1.17317,1.17317,1.17317,1.17317,0
2020-09-30 03:13:22,2020-09-30 03:13:22,1.17317,1.17317,1.17317,1.17317,0
2020-09-30 03:13:23,2020-09-30 03:13:23,1.17317,1.17317,1.17317,1.17317,0
